"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","","9","0","","0"
"0","","0","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","13","0","","0"
"0","","0","UI Testing Playground: Scenario: AJAX request: Given: the user is on a page where AJAX requests are needed: When: the user triggers an AJAX request on the page","1","0","","0"
"0","","0","UI Testing Playground: Scenario: Inner Text: Given: the user is on a page where there is inner text: When: the user wants to validate the inner text of an element","2","0","","0"
"0","","0","UI Testing Playground: Scenario: Delay: Given: the user is on a page where JavaScript processing on client side happens: When: the user triggers client side logic","1","0","","0"
"0","","0","UI Testing Playground: Scenario: Click: Given: the user is on a page where event based clicks do not work: When: the user does a physical mouse click","1","0","","0"
"0","","0","UI Testing Playground: Scenario: Hidden layers: Given: the user is on a page where elements are cached: When: the user wants to interact with a cached element","1","0","","0"
"0","","1","Accessibility Test: Page: https://www.mta.info/","0","0","","0"
"0","","0","UI Testing Playground: Scenario: Overlapped elements: Given: the user is on a page where an element is overlapped: When: the user brings the overlapped element into view","1","0","","0"
"0","","0","Accessibility Test: Page: https://rnid.org.uk/","1","0","","0"
"0","","0","UI Testing Playground: Scenario: Non-Breaking space: Given: the user is on a page where non-breaking space is used: When: the user wants to reference an element using nbsp","1","0","","0"
"0","","0","UI Testing Playground: Scenario: Progress bar: Given: the user is on a page where there is a progress bar: When: the user triggers the progress bar to be active","1","0","","0"
"0","","0","UI Testing Playground: Scenario: Login: Given: the user is logged in: When: the user wants to logout","1","0","","0"
"0","","0","UI Testing Playground: Scenario: Text Input: Given: the user is on a page where sending text via DOM events do not work: When: the user emulates real keyboard input","1","0","","0"
"0","","0","UI Testing Playground: Scenario: Shadom DOM: Given: the user is on a page where shadow DOM is used","1","0","","0"
"0","","0","UI Testing Playground: Scenario: Stale elements: Given: the user is on a page where elements become stale: When: the user wants to reference an updated element","1","0","","0"
"0","","0","UI Testing Playground: Scenario: Disabled Input: Given: the user is on a page where inputs can be disabled: When: the user wants to interact with a disabled input","1","0","","0"
"0","","0","UI Testing Playground: Scenario: Dynamic ID: Given: the user is on a page with dynamic ID elements: When: the user wants to interact with Dynamic ID elements","2","0","","0"
"0","","0","UI Testing Playground: Scenario: Login: Given: the user is on a login page: When: the user enters valid credentials","1","0","","0"
"0","","0","UI Testing Playground: Scenario: Animated elements: Given: the user is on a page where elements can become animated: When: an element is animated","1","0","","0"
"0","","0","Accessibility Test: Page: https://www.wikipedia.org/","1","0","","0"
"0","","0","UI Testing Playground: Scenario: Dynamic table: Given: the user is on a page with a dynamic table: When: the user wants to validate a specific set of data within the table","1","0","","0"
"0","","0","UI Testing Playground: Scenario: Login: Given: the user is not logged in: When: the user enters invalid credentials","1","0","","0"
"0","","0","UI Testing Playground: Scenario: Class attribute: Given: the user is on a page where elements are using classes: When: the user wants to interact with a specific element","1","0","","0"
