"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","290","Then: a user should be registered","Reqres API","Wed Jul 30 22:58:00 EDT 2025","passed","Wed Jul 30 22:58:01 EDT 2025","Given: the user wants to register a user","Scenario: Register","",""
"","56","Then: the user should not be able to click an element with 0 opacity","","Fri Aug 01 00:21:11 EDT 2025","passed","Fri Aug 01 00:21:11 EDT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","171","Then: a user should be updated","Reqres API","Wed Jul 30 22:58:01 EDT 2025","passed","Wed Jul 30 22:58:01 EDT 2025","Given: the user wants to update a user","Scenario: Users","",""
"","108","Then: the user should be able to click an element that is not overlapped","","Fri Aug 01 00:21:10 EDT 2025","passed","Fri Aug 01 00:21:10 EDT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","15532","Then: the page should be updated with needed content upon completion of the request","","Fri Aug 01 00:21:03 EDT 2025","passed","Fri Aug 01 00:21:19 EDT 2025","","UI Testing Playground: Scenario: AJAX request: Given: the user is on a page where AJAX requests are needed: When: the user triggers an AJAX request on the page","",""
"","105","Then: the user should be able to click an element with width","","Fri Aug 01 00:21:10 EDT 2025","passed","Fri Aug 01 00:21:10 EDT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","763","Then: the user should be able to validate the inner text by getting the text","","Fri Aug 01 00:21:03 EDT 2025","passed","Fri Aug 01 00:21:03 EDT 2025","","UI Testing Playground: Scenario: Inner Text: Given: the user is on a page where there is inner text: When: the user wants to validate the inner text of an element","",""
"","192","Then: the user should not be able to click an element with zero width","","Fri Aug 01 00:21:11 EDT 2025","passed","Fri Aug 01 00:21:11 EDT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","141","Then: the XPATH selector strategy can be used to validate the inner text","","Fri Aug 01 00:21:03 EDT 2025","passed","Fri Aug 01 00:21:03 EDT 2025","","UI Testing Playground: Scenario: Inner Text: Given: the user is on a page where there is inner text: When: the user wants to validate the inner text of an element","",""
"","83","Then: the user should not be able to click an element that is offscreen","","Fri Aug 01 00:21:11 EDT 2025","passed","Fri Aug 01 00:21:11 EDT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","253","Then: a 404 should be returned","Reqres API","Wed Jul 30 22:58:02 EDT 2025","passed","Wed Jul 30 22:58:02 EDT 2025","Given: the user wants to see available users > When: a special character is used","Scenario: Users - Bad requests","",""
"","16234","Then: the page should wait for the logic to be processed","","Fri Aug 01 00:21:03 EDT 2025","passed","Fri Aug 01 00:21:19 EDT 2025","","UI Testing Playground: Scenario: Delay: Given: the user is on a page where JavaScript processing on client side happens: When: the user triggers client side logic","",""
"","1176","Then: the page should register the mouse click","","Fri Aug 01 00:21:02 EDT 2025","passed","Fri Aug 01 00:21:04 EDT 2025","","UI Testing Playground: Scenario: Click: Given: the user is on a page where event based clicks do not work: When: the user does a physical mouse click","",""
"","1730","Then: the state of the element should persist","","Fri Aug 01 00:21:02 EDT 2025","passed","Fri Aug 01 00:21:04 EDT 2025","","UI Testing Playground: Scenario: Hidden layers: Given: the user is on a page where elements are cached: When: the user wants to interact with a cached element","",""
"","23787"," should conform to WCAG rules","","Fri Aug 01 00:18:02 EDT 2025","failed","Fri Aug 01 00:18:26 EDT 2025","","Accessibility Test: Page: https://www.mta.info/","",""
"","53","Then: the user should not be able to click an element with display none","","Fri Aug 01 00:21:11 EDT 2025","passed","Fri Aug 01 00:21:11 EDT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
"","420","Then: the user should be notified only defined users succeed registration","Reqres API","Wed Jul 30 22:58:01 EDT 2025","passed","Wed Jul 30 22:58:01 EDT 2025","Given: the user wants to register a user > When: a non defined user is entered","Scenario: Register - Bad requests","",""
"","1372","Then: the user should be able to interact with the element","","Fri Aug 01 00:21:07 EDT 2025","passed","Fri Aug 01 00:21:08 EDT 2025","","UI Testing Playground: Scenario: Overlapped elements: Given: the user is on a page where an element is overlapped: When: the user brings the overlapped element into view","",""
"","185","Then: a user should be created","Reqres API","Wed Jul 30 22:58:01 EDT 2025","passed","Wed Jul 30 22:58:01 EDT 2025","Given: the user wants to create a new user","Scenario: Users","",""
"","238","Then: data for the user should be returned","Reqres API","Wed Jul 30 22:58:01 EDT 2025","passed","Wed Jul 30 22:58:01 EDT 2025","Given: the user wants to see available users > When: the user wants to find a specific user","Scenario: Users","",""
"","108","Then: the user should be able to click an element that is on screen","","Fri Aug 01 00:21:11 EDT 2025","passed","Fri Aug 01 00:21:11 EDT 2025","","UI Testing Playground: Scenario: Visibility: Given: the user is on a page where elements are expected to be visible: When: the user wants to click a specific element","",""
